id,country_long,name,primary_fuel,capacity_mw,commissioning_year,passage
29,United Kingdom,Aikengall,Wind,48.0,,The Aikengall power plant in United Kingdom. It is a Wind facility with a capacity of 48 MW. Located at latitude 56 and longitude -2.
30,United Kingdom,Aikengall II  Wester Dod Community Wind Farm,Wind,60.8,,The Aikengall II  Wester Dod Community Wind Farm power plant in United Kingdom. It is a Wind facility with a capacity of 61 MW. Located at latitude 56 and longitude -2.
31,United Kingdom,Airfield Farm (Podington) (Resubmission),Wind,8.6,,The Airfield Farm (Podington) (Resubmission) power plant in United Kingdom. It is a Wind facility with a capacity of 9 MW. Located at latitude 52 and longitude -1.
32,United Kingdom,Airfield Farm PV,Solar,5.0,,The Airfield Farm PV power plant in United Kingdom. It is a Solar facility with a capacity of 5 MW. Located at latitude 52 and longitude 1.
33,United Kingdom,Airies Farm,Wind,35.0,,The Airies Farm power plant in United Kingdom. It is a Wind facility with a capacity of 35 MW. Located at latitude 55 and longitude -5.
34,United Kingdom,Airport Road West,Biomass,1.2,,The Airport Road West power plant in United Kingdom. It is a Biomass facility with a capacity of 1 MW. Located at latitude 55 and longitude -6.
35,United Kingdom,Alan Bartlett & Sons Solar,Solar,1.2,,The Alan Bartlett & Sons Solar power plant in United Kingdom. It is a Solar facility with a capacity of 1 MW. Located at latitude 52 and longitude 0.
36,United Kingdom,Albrighton Solar farm,Solar,15.8,,The Albrighton Solar farm power plant in United Kingdom. It is a Solar facility with a capacity of 16 MW. Located at latitude 53 and longitude -2.
37,United Kingdom,Albury Landfill,Waste,1.5,,The Albury Landfill power plant in United Kingdom. It is a Waste facility with a capacity of 2 MW. Located at latitude 51 and longitude 0.
38,United Kingdom,Aldi - Cardiff,Solar,1.5,,The Aldi - Cardiff power plant in United Kingdom. It is a Solar facility with a capacity of 2 MW. Located at latitude 52 and longitude -3.
39,United Kingdom,Aldi Distribution Centre,Solar,1.3,,The Aldi Distribution Centre power plant in United Kingdom. It is a Solar facility with a capacity of 1 MW. Located at latitude 56 and longitude -4.
40,United Kingdom,Aldi Distribution Centre - Darlington,Solar,1.2,,The Aldi Distribution Centre - Darlington power plant in United Kingdom. It is a Solar facility with a capacity of 1 MW. Located at latitude 55 and longitude -2.
41,United Kingdom,Aldi Distribution Centre - Neston,Solar,1.2,,The Aldi Distribution Centre - Neston power plant in United Kingdom. It is a Solar facility with a capacity of 1 MW. Located at latitude 53 and longitude -3.
42,United Kingdom,Aller Court Farm Solar Park,Solar,5.0,,The Aller Court Farm Solar Park power plant in United Kingdom. It is a Solar facility with a capacity of 5 MW. Located at latitude 51 and longitude -3.
43,United Kingdom,Allerton Waste Recovery Park (EfW),Waste,27.0,,The Allerton Waste Recovery Park (EfW) power plant in United Kingdom. It is a Waste facility with a capacity of 27 MW. Located at latitude 54 and longitude -1.
44,United Kingdom,Allerton Waste Recovery Park (Waste AD),Biomass,1.1,,The Allerton Waste Recovery Park (Waste AD) power plant in United Kingdom. It is a Biomass facility with a capacity of 1 MW. Located at latitude 54 and longitude -1.
45,United Kingdom,Allington EFW,Waste,51.0,,The Allington EFW power plant in United Kingdom. It is a Waste facility with a capacity of 51 MW. Located at latitude 51 and longitude 0.
46,United Kingdom,Allt Cheanna Mhuir Hydro,Hydro,1.3,,The Allt Cheanna Mhuir Hydro power plant in United Kingdom. It is a Hydro facility with a capacity of 1 MW. Located at latitude 57 and longitude -5.
47,United Kingdom,Allt Dearg Wind Farmers LLP,Wind,10.8,,The Allt Dearg Wind Farmers LLP power plant in United Kingdom. It is a Wind facility with a capacity of 11 MW. Located at latitude 56 and longitude -5.
48,United Kingdom,Allt Fionn - resubmission,Hydro,2.1,,The Allt Fionn - resubmission power plant in United Kingdom. It is a Hydro facility with a capacity of 2 MW. Located at latitude 56 and longitude -5.
49,United Kingdom,Allt Garbh hydro,Hydro,1.5,,The Allt Garbh hydro power plant in United Kingdom. It is a Hydro facility with a capacity of 2 MW. Located at latitude 57 and longitude -5.
50,United Kingdom,Allt Ladaidh Hydro,Hydro,1.3,,The Allt Ladaidh Hydro power plant in United Kingdom. It is a Hydro facility with a capacity of 1 MW. Located at latitude 57 and longitude -5.
51,United Kingdom,Alltwalis,Wind,23.0,,The Alltwalis power plant in United Kingdom. It is a Wind facility with a capacity of 23 MW. Located at latitude 52 and longitude -4.
52,United Kingdom,Alscot,Biomass,1.6,,The Alscot power plant in United Kingdom. It is a Biomass facility with a capacity of 2 MW. Located at latitude 52 and longitude -2.
53,United Kingdom,Altahullion,Wind,26.0,,The Altahullion power plant in United Kingdom. It is a Wind facility with a capacity of 26 MW. Located at latitude 55 and longitude -7.
54,United Kingdom,Altahullion Extension,Wind,11.7,,The Altahullion Extension power plant in United Kingdom. It is a Wind facility with a capacity of 12 MW. Located at latitude 55 and longitude -7.
55,United Kingdom,Altamuskin,Wind,7.1,,The Altamuskin power plant in United Kingdom. It is a Wind facility with a capacity of 7 MW. Located at latitude 55 and longitude -7.
56,United Kingdom,Altamuskin Extension,Wind,7.1,,The Altamuskin Extension power plant in United Kingdom. It is a Wind facility with a capacity of 7 MW. Located at latitude 55 and longitude -7.
57,United Kingdom,Altaveedan Wind Farm,Wind,17.9,,The Altaveedan Wind Farm power plant in United Kingdom. It is a Wind facility with a capacity of 18 MW. Located at latitude 55 and longitude -6.
58,United Kingdom,Alveston Wind Park,Wind,6.9,,The Alveston Wind Park power plant in United Kingdom. It is a Wind facility with a capacity of 7 MW. Located at latitude 52 and longitude -2.
59,United Kingdom,Amcor Flexibles,Solar,1.7,,The Amcor Flexibles power plant in United Kingdom. It is a Solar facility with a capacity of 2 MW. Located at latitude 52 and longitude -3.
60,United Kingdom,An Suidhe,Wind,19.3,,The An Suidhe power plant in United Kingdom. It is a Wind facility with a capacity of 19 MW. Located at latitude 56 and longitude -5.
61,United Kingdom,Andershaw,Wind,36.3,,The Andershaw power plant in United Kingdom. It is a Wind facility with a capacity of 36 MW. Located at latitude 56 and longitude -4.
62,United Kingdom,Andover Solar Farm,Solar,5.0,,The Andover Solar Farm power plant in United Kingdom. It is a Solar facility with a capacity of 5 MW. Located at latitude 51 and longitude -2.
63,United Kingdom,Anthony Estate Solar Farm - resubmission,Solar,4.7,,The Anthony Estate Solar Farm - resubmission power plant in United Kingdom. It is a Solar facility with a capacity of 5 MW. Located at latitude 50 and longitude -4.
64,United Kingdom,Arden Quarry Landfill,Waste,3.1,,The Arden Quarry Landfill power plant in United Kingdom. It is a Waste facility with a capacity of 3 MW. Located at latitude 53 and longitude -2.
65,United Kingdom,Ardley EfW,Waste,26.0,,The Ardley EfW power plant in United Kingdom. It is a Waste facility with a capacity of 26 MW. Located at latitude 52 and longitude -1.
66,United Kingdom,Ardley Fields Farm Landfill Site,Waste,1.8,,The Ardley Fields Farm Landfill Site power plant in United Kingdom. It is a Waste facility with a capacity of 2 MW. Located at latitude 52 and longitude -1.
67,United Kingdom,Ardoch and Over Enoch Wind Farm (Ardoch),Wind,7.2,,The Ardoch and Over Enoch Wind Farm (Ardoch) power plant in United Kingdom. It is a Wind facility with a capacity of 7 MW. Located at latitude 56 and longitude -4.
68,United Kingdom,Ardoch and Over Enoch Wind Farm (Over Enoch),Wind,4.3,,The Ardoch and Over Enoch Wind Farm (Over Enoch) power plant in United Kingdom. It is a Wind facility with a capacity of 4 MW. Located at latitude 56 and longitude -4.
69,United Kingdom,Ardrossan,Wind,24.0,,The Ardrossan power plant in United Kingdom. It is a Wind facility with a capacity of 24 MW. Located at latitude 56 and longitude -5.
70,United Kingdom,Ardrossan Extension,Wind,6.0,,The Ardrossan Extension power plant in United Kingdom. It is a Wind facility with a capacity of 6 MW. Located at latitude 56 and longitude -5.
71,United Kingdom,Ardtalnaig Hydro Scheme (resubmission),Hydro,2.0,,The Ardtalnaig Hydro Scheme (resubmission) power plant in United Kingdom. It is a Hydro facility with a capacity of 2 MW. Located at latitude 57 and longitude -4.
72,United Kingdom,Ardtornish Estate-Upgrade to existing,Hydro,1.5,,The Ardtornish Estate-Upgrade to existing power plant in United Kingdom. It is a Hydro facility with a capacity of 2 MW. Located at latitude 57 and longitude -6.
73,United Kingdom,Ardwick Railway Goods Yard Incinerator (Newhaven EFW Plant),Waste,33.5,,The Ardwick Railway Goods Yard Incinerator (Newhaven EFW Plant) power plant in United Kingdom. It is a Waste facility with a capacity of 34 MW. Located at latitude 53 and longitude -2.
74,United Kingdom,Arecleoch,Wind,120.0,,The Arecleoch power plant in United Kingdom. It is a Wind facility with a capacity of 120 MW. Located at latitude 55 and longitude -5.
75,United Kingdom,Ark Hill,Wind,6.4,,The Ark Hill power plant in United Kingdom. It is a Wind facility with a capacity of 6 MW. Located at latitude 57 and longitude -3.
76,United Kingdom,Arkwright Solar Farm,Solar,8.0,,The Arkwright Solar Farm power plant in United Kingdom. It is a Solar facility with a capacity of 8 MW. Located at latitude 53 and longitude -1.
77,United Kingdom,Arla Dairy Site,Biomass,5.0,,The Arla Dairy Site power plant in United Kingdom. It is a Biomass facility with a capacity of 5 MW. Located at latitude 52 and longitude -1.
78,United Kingdom,Arlesey Landfill Gas (Extension),Waste,2.3,,The Arlesey Landfill Gas (Extension) power plant in United Kingdom. It is a Waste facility with a capacity of 2 MW. Located at latitude 52 and longitude 0.
79,United Kingdom,Arlesey Landfill Site,Waste,1.1,,The Arlesey Landfill Site power plant in United Kingdom. It is a Waste facility with a capacity of 1 MW. Located at latitude 52 and longitude 0.
80,United Kingdom,Armistead Wind Farm,Wind,12.0,,The Armistead Wind Farm power plant in United Kingdom. It is a Wind facility with a capacity of 12 MW. Located at latitude 54 and longitude -3.
81,United Kingdom,Arna Wood Solar,Solar,6.2,,The Arna Wood Solar power plant in United Kingdom. It is a Solar facility with a capacity of 6 MW. Located at latitude 54 and longitude -3.
82,United Kingdom,Arnish Moor,Wind,3.9,,The Arnish Moor power plant in United Kingdom. It is a Wind facility with a capacity of 4 MW. Located at latitude 58 and longitude -6.
83,United Kingdom,Arpley Landfill Scheme 'A',Waste,7.9,,The Arpley Landfill Scheme 'A' power plant in United Kingdom. It is a Waste facility with a capacity of 8 MW. Located at latitude 53 and longitude -3.
84,United Kingdom,Arpley Landfill Scheme 'B',Waste,7.9,,The Arpley Landfill Scheme 'B' power plant in United Kingdom. It is a Waste facility with a capacity of 8 MW. Located at latitude 53 and longitude -3.
85,United Kingdom,Arreton A,Solar,4.0,,The Arreton A power plant in United Kingdom. It is a Solar facility with a capacity of 4 MW. Located at latitude 51 and longitude -1.
86,United Kingdom,Artfield Fell,Wind,19.5,,The Artfield Fell power plant in United Kingdom. It is a Wind facility with a capacity of 20 MW. Located at latitude 55 and longitude -5.
87,United Kingdom,Asfordby North,Solar,3.8,,The Asfordby North power plant in United Kingdom. It is a Solar facility with a capacity of 4 MW. Located at latitude 53 and longitude -1.
88,United Kingdom,Ashby,Solar,4.954,,The Ashby power plant in United Kingdom. It is a Solar facility with a capacity of 5 MW. Located at latitude 53 and longitude -1.
89,United Kingdom,Ashlawn Farm,Solar,6.8,,The Ashlawn Farm power plant in United Kingdom. It is a Solar facility with a capacity of 7 MW. Located at latitude 51 and longitude -3.
90,United Kingdom,Askern,Solar,4.9737,,The Askern power plant in United Kingdom. It is a Solar facility with a capacity of 5 MW. Located at latitude 54 and longitude -1.
91,United Kingdom,Aspatria,Solar,19.0,,The Aspatria power plant in United Kingdom. It is a Solar facility with a capacity of 19 MW. Located at latitude 55 and longitude -3.
92,United Kingdom,Aspatria Creamery,Biomass,5.0,,The Aspatria Creamery power plant in United Kingdom. It is a Biomass facility with a capacity of 5 MW. Located at latitude 55 and longitude -3.
93,United Kingdom,Assel Valley,Wind,27.6,,The Assel Valley power plant in United Kingdom. It is a Wind facility with a capacity of 28 MW. Located at latitude 55 and longitude -5.
94,United Kingdom,Astley Solar Farm,Solar,5.0,,The Astley Solar Farm power plant in United Kingdom. It is a Solar facility with a capacity of 5 MW. Located at latitude 52 and longitude -2.
95,United Kingdom,Aston House Solar Farm,Solar,20.0,,The Aston House Solar Farm power plant in United Kingdom. It is a Solar facility with a capacity of 20 MW. Located at latitude 53 and longitude -2.
96,United Kingdom,Atherstone,Solar,14.7,,The Atherstone power plant in United Kingdom. It is a Solar facility with a capacity of 15 MW. Located at latitude 53 and longitude -2.
97,United Kingdom,Attlebridge Landfill Site,Waste,1.3,,The Attlebridge Landfill Site power plant in United Kingdom. It is a Waste facility with a capacity of 1 MW. Located at latitude 53 and longitude 1.
98,United Kingdom,Auchadaduie Wind Farm,Wind,6.9,,The Auchadaduie Wind Farm power plant in United Kingdom. It is a Wind facility with a capacity of 7 MW. Located at latitude 56 and longitude -6.
99,United Kingdom,Auchencarroch Landfill,Waste,2.1,,The Auchencarroch Landfill power plant in United Kingdom. It is a Waste facility with a capacity of 2 MW. Located at latitude 56 and longitude -5.
100,United Kingdom,Auchencarroch Landfill Extension,Waste,2.0,,The Auchencarroch Landfill Extension power plant in United Kingdom. It is a Waste facility with a capacity of 2 MW. Located at latitude 56 and longitude -5.
101,United Kingdom,Auchinderran Wind Farm,Wind,2.4,,The Auchinderran Wind Farm power plant in United Kingdom. It is a Wind facility with a capacity of 2 MW. Located at latitude 58 and longitude -3.
102,United Kingdom,Auchinlea Landfill Site,Waste,2.3,,The Auchinlea Landfill Site power plant in United Kingdom. It is a Waste facility with a capacity of 2 MW. Located at latitude 56 and longitude -4.
103,United Kingdom,Auchrobert Wind Farm,Wind,36.0,,The Auchrobert Wind Farm power plant in United Kingdom. It is a Wind facility with a capacity of 36 MW. Located at latitude 56 and longitude -4.
104,United Kingdom,Austrey House Farm,Biomass,1.5,,The Austrey House Farm power plant in United Kingdom. It is a Biomass facility with a capacity of 2 MW. Located at latitude 53 and longitude -2.
105,United Kingdom,Aveley,Waste,1.2,,The Aveley power plant in United Kingdom. It is a Waste facility with a capacity of 1 MW. Located at latitude 52 and longitude 0.
106,United Kingdom,Aveley Landfill Scheme,Waste,2.1,,The Aveley Landfill Scheme power plant in United Kingdom. It is a Waste facility with a capacity of 2 MW. Located at latitude 52 and longitude 0.
107,United Kingdom,Avenue Farm,Solar,7.3,,The Avenue Farm power plant in United Kingdom. It is a Solar facility with a capacity of 7 MW. Located at latitude 53 and longitude 1.
108,United Kingdom,Averhill Farm,Solar,5.0,,The Averhill Farm power plant in United Kingdom. It is a Solar facility with a capacity of 5 MW. Located at latitude 53 and longitude -1.
109,United Kingdom,Avondale,Waste,4.0,,The Avondale power plant in United Kingdom. It is a Waste facility with a capacity of 4 MW. Located at latitude 56 and longitude -4.
110,United Kingdom,Avondale Quarry (Pilot),Biomass,2.0,,The Avondale Quarry (Pilot) power plant in United Kingdom. It is a Biomass facility with a capacity of 2 MW. Located at latitude 56 and longitude -4.
111,United Kingdom,Avonmouth,Biomass,6.5,,The Avonmouth power plant in United Kingdom. It is a Biomass facility with a capacity of 6 MW. Located at latitude 52 and longitude -3.
112,United Kingdom,Avonmouth Low Carbon Energy Facility - Phase 2,Biomass,6.5,,The Avonmouth Low Carbon Energy Facility - Phase 2 power plant in United Kingdom. It is a Biomass facility with a capacity of 6 MW. Located at latitude 52 and longitude -3.
113,United Kingdom,Avonmouth Port,Wind,6.0,,The Avonmouth Port power plant in United Kingdom. It is a Wind facility with a capacity of 6 MW. Located at latitude 52 and longitude -3.
114,United Kingdom,Avonmouth Port - extension,Wind,9.0,,The Avonmouth Port - extension power plant in United Kingdom. It is a Wind facility with a capacity of 9 MW. Located at latitude 52 and longitude -3.
115,United Kingdom,Avonmouth Port II,Wind,5.0,,The Avonmouth Port II power plant in United Kingdom. It is a Wind facility with a capacity of 5 MW. Located at latitude 52 and longitude -3.
116,United Kingdom,Avonmouth Wind Power,Wind,8.2,,The Avonmouth Wind Power power plant in United Kingdom. It is a Wind facility with a capacity of 8 MW. Located at latitude 52 and longitude -3.
117,United Kingdom,Awre,Solar,5.0,,The Awre power plant in United Kingdom. It is a Solar facility with a capacity of 5 MW. Located at latitude 52 and longitude -2.
118,United Kingdom,Ayshford Court Farm,Solar,5.0,,The Ayshford Court Farm power plant in United Kingdom. It is a Solar facility with a capacity of 5 MW. Located at latitude 51 and longitude -3.
119,United Kingdom,B&Q Swindon DC,Solar,2.5,,The B&Q Swindon DC power plant in United Kingdom. It is a Solar facility with a capacity of 2 MW. Located at latitude 52 and longitude -2.
120,United Kingdom,BAE Samlesbury Aerodrome,Solar,2.0,,The BAE Samlesbury Aerodrome power plant in United Kingdom. It is a Solar facility with a capacity of 2 MW. Located at latitude 54 and longitude -3.
121,United Kingdom,BH Energy - Biogas (AD),Biomass,2.1,,The BH Energy - Biogas (AD) power plant in United Kingdom. It is a Biomass facility with a capacity of 2 MW. Located at latitude 55 and longitude -6.
122,United Kingdom,BIOSSENCE SOLAR PARK,Solar,4.5,,The BIOSSENCE SOLAR PARK power plant in United Kingdom. It is a Solar facility with a capacity of 4 MW. Located at latitude 51 and longitude 0.
123,United Kingdom,BMW UK Manufacturing Ltd,Solar,3.0,,The BMW UK Manufacturing Ltd power plant in United Kingdom. It is a Solar facility with a capacity of 3 MW. Located at latitude 52 and longitude -1.
124,United Kingdom,BROWNIELEYS - 3 WIND TURBINES,Wind,7.5,,The BROWNIELEYS - 3 WIND TURBINES power plant in United Kingdom. It is a Wind facility with a capacity of 8 MW. Located at latitude 57 and longitude -2.
125,United Kingdom,BV Dairy  (Farm AD),Biomass,1.5,,The BV Dairy  (Farm AD) power plant in United Kingdom. It is a Biomass facility with a capacity of 2 MW. Located at latitude 51 and longitude -2.
126,United Kingdom,Babergh Home Solar Scheme,Solar,2.8,,The Babergh Home Solar Scheme power plant in United Kingdom. It is a Solar facility with a capacity of 3 MW. Located at latitude 52 and longitude 1.
127,United Kingdom,Bad a Cheo Wind Farm,Wind,26.7,,The Bad a Cheo Wind Farm power plant in United Kingdom. It is a Wind facility with a capacity of 27 MW. Located at latitude 58 and longitude -3.
128,United Kingdom,Badachro hydro scheme - resubmission,Hydro,1.5,,The Badachro hydro scheme - resubmission power plant in United Kingdom. It is a Hydro facility with a capacity of 2 MW. Located at latitude 58 and longitude -6.
129,United Kingdom,Baglan Bay CCGT,Gas,520.0,,The Baglan Bay CCGT power plant in United Kingdom. It is a Gas facility with a capacity of 520 MW. Located at latitude 52 and longitude -4.
130,United Kingdom,Baglan Bay OCGT,Gas,32.3,,The Baglan Bay OCGT power plant in United Kingdom. It is a Gas facility with a capacity of 32 MW. Located at latitude 52 and longitude -4.
131,United Kingdom,Baglan Bay Solar Farm - Phase 1,Solar,5.0,,The Baglan Bay Solar Farm - Phase 1 power plant in United Kingdom. It is a Solar facility with a capacity of 5 MW. Located at latitude 52 and longitude -4.
132,United Kingdom,Bagmoor,Wind,16.0,,The Bagmoor power plant in United Kingdom. It is a Wind facility with a capacity of 16 MW. Located at latitude 54 and longitude -1.
133,United Kingdom,Baillie,Wind,52.5,,The Baillie power plant in United Kingdom. It is a Wind facility with a capacity of 52 MW. Located at latitude 59 and longitude -4.
134,United Kingdom,Bake Farm Solar Park,Solar,4.99928,,The Bake Farm Solar Park power plant in United Kingdom. It is a Solar facility with a capacity of 5 MW. Located at latitude 51 and longitude -2.
135,United Kingdom,Bakers Farm (solar),Solar,12.0,,The Bakers Farm (solar) power plant in United Kingdom. It is a Solar facility with a capacity of 12 MW. Located at latitude 51 and longitude -1.
136,United Kingdom,Balcas Timber Biomass CHP Plant,Biomass,2.5,,The Balcas Timber Biomass CHP Plant power plant in United Kingdom. It is a Biomass facility with a capacity of 2 MW. Located at latitude 54 and longitude -8.
137,United Kingdom,Balderton,Biomass,20.3,,The Balderton power plant in United Kingdom. It is a Biomass facility with a capacity of 20 MW. Located at latitude 53 and longitude -1.
138,United Kingdom,Baldovie,Waste,8.3,,The Baldovie power plant in United Kingdom. It is a Waste facility with a capacity of 8 MW. Located at latitude 56 and longitude -3.
139,United Kingdom,Balhearty Solar,Solar,5.0,,The Balhearty Solar power plant in United Kingdom. It is a Solar facility with a capacity of 5 MW. Located at latitude 56 and longitude -4.
140,United Kingdom,Ballinderry Road Solar Phase 1 (Lisburn),Solar,13.5,,The Ballinderry Road Solar Phase 1 (Lisburn) power plant in United Kingdom. It is a Solar facility with a capacity of 14 MW. Located at latitude 55 and longitude -6.
141,United Kingdom,Ballinderry Road Solar Phase 2 (Lisburn),Solar,7.0,,The Ballinderry Road Solar Phase 2 (Lisburn) power plant in United Kingdom. It is a Solar facility with a capacity of 7 MW. Located at latitude 55 and longitude -6.
142,United Kingdom,Balls Wood Solar Farm,Solar,8.7,,The Balls Wood Solar Farm power plant in United Kingdom. It is a Solar facility with a capacity of 9 MW. Located at latitude 50 and longitude -4.
143,United Kingdom,Ballyboley Solar (Carrowdore),Solar,6.0,,The Ballyboley Solar (Carrowdore) power plant in United Kingdom. It is a Solar facility with a capacity of 6 MW. Located at latitude 55 and longitude -6.
144,United Kingdom,Ballygarvey Road,Solar,13.0,,The Ballygarvey Road power plant in United Kingdom. It is a Solar facility with a capacity of 13 MW. Located at latitude 55 and longitude -6.
145,United Kingdom,Ballylumford B,Gas,540.0,,The Ballylumford B power plant in United Kingdom. It is a Gas facility with a capacity of 540 MW. Located at latitude 55 and longitude -6.
146,United Kingdom,Ballylumford B OCGT,Gas,116.0,,The Ballylumford B OCGT power plant in United Kingdom. It is a Gas facility with a capacity of 116 MW. Located at latitude 55 and longitude -6.
147,United Kingdom,Ballylumford C,Gas,616.0,,The Ballylumford C power plant in United Kingdom. It is a Gas facility with a capacity of 616 MW. Located at latitude 55 and longitude -6.
148,United Kingdom,Ballymena,Wind,4.6,,The Ballymena power plant in United Kingdom. It is a Wind facility with a capacity of 5 MW. Located at latitude 55 and longitude -6.
149,United Kingdom,Balmurrie Fell Wind Farm,Wind,9.1,,The Balmurrie Fell Wind Farm power plant in United Kingdom. It is a Wind facility with a capacity of 9 MW. Located at latitude 55 and longitude -5.
150,United Kingdom,Bambers,Wind,4.8,,The Bambers power plant in United Kingdom. It is a Wind facility with a capacity of 5 MW. Located at latitude 53 and longitude 0.
151,United Kingdom,Bambers Farm,Wind,9.6,,The Bambers Farm power plant in United Kingdom. It is a Wind facility with a capacity of 10 MW. Located at latitude 53 and longitude 0.
152,United Kingdom,Bankend Rig,Wind,14.3,,The Bankend Rig power plant in United Kingdom. It is a Wind facility with a capacity of 14 MW. Located at latitude 56 and longitude -4.
153,United Kingdom,Bann Road (Rasharkin),Solar,18.0,,The Bann Road (Rasharkin) power plant in United Kingdom. It is a Solar facility with a capacity of 18 MW. Located at latitude 55 and longitude -7.
