id,question
5568,"In which country is the Expressway Solar B plant located, and when was it commissioned?"
5568,What are the specific latitude and longitude coordinates for the Expressway Solar B facility?
1575,What type of power plant is Lochhead and in which country is it located?
1575,What is the primary fuel source and generation capacity of the Lochhead power plant?
1575,When was the Lochhead power plant commissioned?
1237,What is the primary fuel source for the Horncliffe Quarry (Extension) power plant?
1237,What is the power generation capacity in megawatts of the Horncliffe Quarry (Extension) facility?
1237,In which country is the Horncliffe Quarry (Extension) power plant located?
5582,What is the primary fuel type and capacity of the F.D. Kuester Generating Station?
5582,In what year was the F.D. Kuester Generating Station in the United States of America commissioned?
5582,Which country is home to the F.D. Kuester Generating Station?
4265,In which country is the Cascade Solar (TX) power plant located?
4265,What is the primary fuel source for the Cascade Solar (TX) power plant?
4265,What is the power generation capacity of the Cascade Solar (TX) facility?
11235,What is the primary fuel type used by the T B Simon Power Plant?
11235,What is the generation capacity of the T B Simon Power Plant in megawatts?
11235,When was the T B Simon Power Plant commissioned?
3873,What is the primary fuel type of the Brookfield power plant?
3873,What is the capacity in megawatts of the Brookfield facility?
3873,In what year was the Brookfield power plant commissioned?
3873,Which country is home to the Brookfield power plant?
3873,What are the latitude and longitude coordinates of the Brookfield power plant?
2057,What is the primary fuel source for the Ray power plant in the United Kingdom?
2057,What is the electrical generation capacity in megawatts of the Ray power plant?
2057,When was the Ray power plant commissioned?
7844,What is the primary fuel type used by the Luna Energy Facility?
7844,What is the generation capacity in megawatts of the Luna Energy Facility?
7844,In what year was the Luna Energy Facility commissioned?
2589,Where is the Wathegar wind farm located?
2589,What is the primary fuel type and total capacity of the Wathegar wind farm?
2589,When was the Wathegar wind farm commissioned?
10630,In which country is the Silver Sage Windpower plant located?
10630,What is the primary fuel source for the Silver Sage Windpower facility?
10630,What is the generating capacity and commissioning year of the Silver Sage Windpower plant?
2239,What is the name of the power plant located in the United Kingdom?
2239,What is the primary fuel source and capacity in MW of the Sidegate Lane power plant?
2239,When was the Sidegate Lane power plant commissioned?
5519,In which country is the Erickson Station power plant located?
5519,What is the primary fuel source used by the Erickson Station?
5519,When was the Erickson Station commissioned and what is its capacity in megawatts?
6291,In which country is the Great Divide Solar LLC power plant located and what are its geographic coordinates?
6291,What is the primary fuel source and the generation capacity in megawatts of the Great Divide Solar LLC facility?
6291,When was the Great Divide Solar LLC power plant commissioned and began operations?
218,In which country is the Berry Burn power plant located?
218,What is the primary fuel source for the Berry Burn power plant?
218,When was the Berry Burn power plant commissioned?
10835,What is the primary fuel type and generation capacity of the Southampton Solar LLC power plant?
10835,In which country is the Southampton Solar LLC power plant located and what year was it commissioned?
10835,What are the specific latitude and longitude coordinates for the Southampton Solar LLC facility?
6134,Where is the Gilliam South power plant located?
6134,What is the primary fuel type used by the Gilliam South power plant?
6134,What is the power generation capacity of the Gilliam South plant?
2270,When was the Snarlton Farm (Melksham solar farm) in the United Kingdom commissioned?
2270,What is the primary fuel type and capacity in megawatts of the Snarlton Farm (Melksham solar farm)?
2270,Can you provide the country and geographical coordinates for the Snarlton Farm power plant?
9079,What is the primary fuel source used by the Oriana Solar Farm?
9079,In which country is the Oriana Solar Farm located?
9079,What is the total power generation capacity of the Oriana Solar Farm in megawatts?
12155,In which country is the West Campus Cogeneration Facility located?
12155,What is the primary fuel source for the West Campus Cogeneration Facility?
12155,What is the generating capacity and commissioning year of the West Campus Cogeneration Facility?
2932,What is the primary fuel source for the Alabama River Pulp power plant?
2932,What is the power generation capacity (in MW) of the Alabama River Pulp plant?
2932,"When was the Alabama River Pulp power plant commissioned, and in which country is it located?"
11874,What is the primary fuel source for the Vineland Headquarters power plant in the United States of America?
11874,What is the capacity of the Vineland Headquarters facility and when was it commissioned?
11874,Can you provide the latitude and longitude coordinates for the Vineland Headquarters plant?
5981,Where is the GSSP Schneider LLC power plant located?
5981,What is the primary fuel type and capacity of the GSSP Schneider LLC facility?
5981,When was the GSSP Schneider LLC power plant commissioned?
3988,What is the primary fuel source for the Byllesby power plant in the United States of America?
3988,What is the generation capacity in megawatts and commissioning year of the Byllesby power plant?
3988,Can you provide the geographical coordinates for the Byllesby power plant?
11574,In which country is the Turrill Solar Farm located?
11574,What is the primary fuel source for the Turrill Solar Farm?
11574,When was the Turrill Solar Farm commissioned?
6186,What is the name of the oil-fired power plant located in the United States of America?
6186,What is the generating capacity in megawatts of the Good Samaritan Hospital power plant?
6186,When was the Good Samaritan Hospital power plant commissioned?
11772,What type of fuel does the Valencia Energy Facility use?
11772,What is the generating capacity of the Valencia Energy Facility in megawatts?
11772,In what year was the Valencia Energy Facility commissioned?
9468,What is the primary fuel source for the Pine Bluff Mill power plant?
9468,What is the generating capacity of the Pine Bluff Mill facility in megawatts?
9468,In which year was the Pine Bluff Mill power plant commissioned?
5963,What is the primary fuel source for the GRE Marshan Solar power plant?
5963,"In which country is the GRE Marshan Solar facility located, and what is its capacity in megawatts?"
5963,When was the GRE Marshan Solar power plant commissioned?
7442,In which country is the L'Oreal Solar - Florence power plant located?
7442,What is the primary fuel source used by the L'Oreal Solar - Florence facility?
7442,What is the power generation capacity (in MW) of the L'Oreal Solar - Florence plant?
3751,What is the primary fuel type and capacity of the Bonefish Solar power plant?
3751,When was the Bonefish Solar power plant commissioned?
3751,What are the geographical coordinates for the Bonefish Solar facility in the United States of America?
10869,What is the primary fuel type and capacity of the Spearville power plant?
10869,"Where is the Spearville facility located, including its latitude and longitude?"
10869,In what year was the Spearville power plant in the United States commissioned?
4484,In which country is the Cimarron Bend Wind Project I LLC located?
4484,What is the primary fuel source for the Cimarron Bend Wind Project I LLC?
4484,What is the power generation capacity of the Cimarron Bend Wind Project I LLC in megawatts?
8615,What is the primary fuel source for the NYP-Hudson Valley Hospital Center power plant?
8615,When was the NYP-Hudson Valley Hospital Center power plant commissioned and in which country is it located?
8615,What is the total power capacity of the NYP-Hudson Valley Hospital Center facility?
3399,Where is the Barton Chapel Wind Farm located?
3399,What is the primary fuel type used by the Barton Chapel Wind Farm?
3399,When was the Barton Chapel Wind Farm commissioned?
6072,What type of primary fuel does the Genesis Alkali power plant utilize?
6072,What is the power generation capacity of the Genesis Alkali facility in megawatts?
6072,"In what year was the Genesis Alkali power plant, located in the United States of America, commissioned?"
3115,In which country is the Annapolis Solar Park LLC power plant located?
3115,What is the primary fuel type of the Annapolis Solar Park LLC power plant?
3115,What is the operational capacity of the Annapolis Solar Park LLC in megawatts?
1950,What is the primary fuel source for the Pen Rhiw power plant in the United Kingdom?
1950,What is the power generation capacity of the Pen Rhiw facility?
1950,"When was the Pen Rhiw power plant commissioned, and what are its geographical coordinates?"
5058,What is the primary fuel source and capacity of the Deerfield Wind Energy LLC power plant?
5058,In what country is the Deerfield Wind Energy LLC power plant located?
5058,When was the Deerfield Wind Energy LLC power plant commissioned?
979,What is the primary fuel source for the Glapwell Power facility?
979,What is the generating capacity of the Glapwell Power plant in megawatts?
979,When was the Glapwell Power plant commissioned?
12205,What is the primary fuel used by the WestRock Panama City Mill power plant?
12205,What is the generation capacity of the WestRock Panama City Mill in megawatts?
12205,When was the WestRock Panama City Mill power plant commissioned?
8628,In which country is the Nanticoke LFG power plant located?
8628,What is the primary fuel source for the Nanticoke LFG power plant?
8628,When was the Nanticoke LFG power plant commissioned?
4237,In which country is the Carr Street Generating Station located?
4237,What is the primary fuel source for the Carr Street Generating Station?
4237,What is the power generation capacity of the Carr Street Generating Station?
10610,What is the primary fuel type for the Sierra Pacific Loyalton Facility?
10610,What is the power generation capacity of the Sierra Pacific Loyalton Facility?
10610,In what year was the Sierra Pacific Loyalton Facility commissioned and in which country is it located?
9034,What is the primary fuel source for the Onondaga County - Oak Orchard WWTP power plant?
9034,What is the power capacity in megawatts of the Onondaga County - Oak Orchard WWTP facility?
9034,"In what year was the Onondaga County - Oak Orchard WWTP commissioned, and in which country is it located?"
8807,In which country is the North Anna power plant located?
8807,What is the primary fuel source and generating capacity of the North Anna power plant?
8807,When was the North Anna power plant commissioned?
9436,What is the primary fuel source for the Phoenix Airport Rental Car Center power plant?
9436,What is the generating capacity of the Phoenix Airport Rental Car Center power plant?
9436,When was the Phoenix Airport Rental Car Center power plant commissioned?
9753,In which country is the R W Miller power plant located?
9753,What is the primary fuel source for the R W Miller power plant?
9753,What is the generation capacity of the R W Miller power plant in megawatts?
10057,In which country is the Rock Falls Wind Farm LLC power plant located?
10057,What is the primary fuel type and total capacity in megawatts for the Rock Falls Wind Farm LLC?
10057,In what year was the Rock Falls Wind Farm LLC commissioned?
6118,"What type of fuel does the Gibbon Solar power plant use, and what is its capacity in megawatts?"
6118,When was the Gibbon Solar power plant in the United States commissioned?
6118,Can you tell me the country where the Gibbon Solar power plant is located?
4638,What is the primary fuel type for the Columbia Canal Hydro power plant?
4638,What is the installed capacity in MW and the commissioning year of the Columbia Canal Hydro plant?
4638,What are the latitude and longitude coordinates for the Columbia Canal Hydro power plant?
3912,What is the primary fuel source for the Bryon Center power plant?
3912,When was the Bryon Center power plant in the United States of America commissioned?
3912,What is the power generation capacity of the Bryon Center facility in megawatts?
10007,What type of fuel does the River Solar power plant utilize?
10007,What is the installed capacity of the River Solar facility?
10007,Can you provide the geographical coordinates for the River Solar plant?
1743,Which country is the Moor House Wind Farm (resubmission) located in?
1743,What is the primary fuel type and capacity in megawatts for the Moor House Wind Farm (resubmission)?
1743,When was the Moor House Wind Farm (resubmission) commissioned?
7782,In which country is the Lookout Point power plant located?
7782,What is the primary fuel source for the Lookout Point power plant?
7782,What is the generating capacity in megawatts of the Lookout Point power plant?
7782,When was the Lookout Point power plant commissioned?
7782,Could you tell me both the primary fuel type and the capacity of the Lookout Point facility?
6128,In which country is the Gila River Power Block 3 power plant located?
6128,What is the primary fuel source utilized by the Gila River Power Block 3 facility?
6128,What are the latitude and longitude coordinates for the Gila River Power Block 3 power plant?
3458,"What is the primary fuel source for the Bearford Solar II power plant, and in which country is it located?"
3458,What is the generation capacity of the Bearford Solar II power plant and when was it commissioned?
3458,Can you provide the latitude and longitude coordinates for the Bearford Solar II power plant?
11584,In which country is the Twin Bridges LFGTE power plant located?
11584,What is the primary fuel source utilized by the Twin Bridges LFGTE facility?
11584,What is the commissioning year and capacity in megawatts for the Twin Bridges LFGTE power plant?
10042,What is the primary fuel source utilized by the Robert P Mone Plant?
10042,What is the total power generation capacity of the Robert P Mone Plant in megawatts?
10042,When was the Robert P Mone Plant commissioned?
2442,What country is the Thorne Colliery power plant located in?
2442,What is the primary fuel type and capacity in megawatts for the Thorne Colliery power plant?
2442,What is the commissioning year for the Thorne Colliery power plant?
10758,What is the primary fuel source for the Soliloquoy Ridge LLC power plant?
10758,In what year was the Soliloquoy Ridge LLC power plant commissioned and what is its capacity in megawatts?
10758,Can you provide the latitude and longitude coordinates for the Soliloquoy Ridge LLC power plant?
10290,In which country is the Saint Marys Falls power plant located?
10290,What is the primary fuel type utilized by the Saint Marys Falls facility?
10290,What are the geographical coordinates of the Saint Marys Falls power plant?
850,What is the full name of the wind power plant located in the United Kingdom?
850,What is the power generation capacity of the European Offshore Wind Deployment Centre (EOWDC) in megawatts?
850,Can you provide the latitude and longitude coordinates for the European Offshore Wind Deployment Centre (EOWDC)?
6920,What is the primary fuel source for the Independence Steam Electric Station?
6920,What is the generation capacity of the Independence Steam Electric Station in megawatts?
6920,In what year was the Independence Steam Electric Station commissioned?
8071,What is the full name of this power plant?
8071,What is the primary fuel type used by the Mass Inst Tech Cntrl Utilities/Cogen Plt?
8071,When was the Mass Inst Tech Cntrl Utilities/Cogen Plt commissioned?
4288,In which country is the Cataract Hydro power plant located?
4288,What is the primary fuel source for the Cataract Hydro power plant?
4288,What is the generation capacity of the Cataract Hydro power plant in megawatts?
6326,What is the primary fuel source for the Green Power I power plant?
6326,What is the capacity of the Green Power I plant in megawatts?
6326,When was the Green Power I power plant commissioned?
6326,In which country is the Green Power I power plant located?
6326,Can you provide the latitude and longitude coordinates for the Green Power I power plant?
4457,What is the primary fuel type used by the Chino Solar Valley power plant?
4457,In which year was the Chino Solar Valley power plant commissioned?
4457,What is the generation capacity of the Chino Solar Valley power plant in megawatts?
4457,Which country is the Chino Solar Valley power plant located in?
4457,What are the latitude and longitude coordinates of the Chino Solar Valley power plant?
10296,In which country is the Salem Street Dept power plant located?
10296,What is the primary fuel source for the Salem Street Dept power plant?
10296,When was the Salem Street Dept power plant commissioned?
8531,What is the primary fuel type for the Mtn. Solar 1 power plant?
8531,When was the Mtn. Solar 1 power plant commissioned?
8531,What are the latitude and longitude coordinates for the Mtn. Solar 1 power plant?
3989,What is the primary fuel source and capacity of the Byllesby 2 power plant?
3989,In what year was the Byllesby 2 power plant commissioned?
3989,Which country is the Byllesby 2 power plant located in?
1482,What is the primary fuel type for the Land west of Welton Road power plant?
1482,What is the capacity of the Land west of Welton Road power plant in megawatts?
1482,When was the Land west of Welton Road power plant commissioned?
1482,In which country is the Land west of Welton Road power plant located?
1482,What are the geographic coordinates (latitude and longitude) for the Land west of Welton Road power plant?
5639,What is the primary fuel source for the Falls Village power plant?
5639,When was the Falls Village power plant commissioned and what is its capacity in megawatts?
5639,Can you provide the latitude and longitude coordinates for the Falls Village power plant?
8978,What is the primary fuel source for the Ocotillo power plant?
8978,In which country is the Ocotillo power plant located?
8978,What is the generating capacity of the Ocotillo power plant?
8398,What is the primary fuel source and total capacity of the MontSun Community Solar power plant?
8398,When was the MontSun Community Solar facility commissioned in the United States?
8398,Can you provide the specific latitude and longitude coordinates for the MontSun Community Solar power plant?
2157,What is the primary fuel source for the Safran Landing Systems Service power plant in the United Kingdom?
2157,What is the generating capacity of the Safran Landing Systems Service power plant in megawatts?
2157,When was the Safran Landing Systems Service power plant commissioned?
